climber	1A	1B	1C	1D	score1
23	15	15	15	10	55
4	15	15	15	10	55
11	15	15	15	5	50
33	15	15	15	5	50
22	15	15	15	5	50
21	15	15	15	5	50
15	15	15	15	5	50
13	15	15	15	5	50
45	15	15	15	5	50
27	15	15	15	0	45
44	15	15	15	0	45
42	15	15	15	0	45
41	15	15	15	0	45
3	15	15	15	0	45
24	15	10	10	0	35
43	15	10	10	0	35
38	15	10	10	0	35
36	15	10	10	0	35
34	15	10	10	0	35
32	15	10	10	0	35
31	15	10	10	0	35
30	15	10	10	0	35
28	15	10	10	0	35
9	15	10	10	0	35
17	15	10	10	0	35
8	15	10	10	0	35
12	15	10	10	0	35
19	15	10	10	0	35
35	15	5	5	0	25
39	15	5	5	0	25
48	15	5	5	0	25
37	15	5	5	0	25
16	15	5	5	0	25
1	15	5	5	0	25
47	15	5	5	0	25
2	15	5	5	0	25
20	15	5	5	0	25
5	15	5	5	0	25
10	15	5	5	0	25
40	15	5	5	0	25
7	15	0	0	0	15
46	15	0	0	0	15
14	15	0	0	0	15
29	15	0	0	0	15
26	15	0	0	0	15
25	15	0	0	0	15
0	10	0	0	0	10
6	10	0	0	0	10
18	5	0	0	0	5
49	5	0	0	0	5
