climber	1A	1B	1C	1D	score1	team	estimated total score min	estimated total score median	estimated total score max
4	15	15	15	10	55	1.0	370	435	450
23	0	15	15	10	40	2.0	355	420	435
45	15	15	15	5	50	3.0	320	390	420
15	15	15	15	5	50	4.0	320	390	420
21	15	15	15	5	50	5.0	320	390	420
11	15	15	15	5	50	5.0	320	390	420
13	15	15	15	5	50	4.0	320	390	420
22	15	15	15	5	50	3.0	320	390	420
33	15	15	15	5	50	2.0	320	390	420
3	15	15	15	0	45	1.0	270	345	390
44	15	15	15	0	45	5.0	270	345	390
42	15	15	15	0	45	4.0	270	345	390
41	15	15	15	0	45	3.0	270	345	390
27	15	15	15	0	45	1.0	270	345	390
30	15	10	10	0	35	2.0	195	285	330
43	15	10	10	0	35	2.0	195	285	330
24	15	10	10	0	35	5.0	195	285	330
9	15	10	10	0	35	4.0	195	285	330
31	15	10	10	0	35	3.0	195	285	330
36	15	10	10	0	35	1.0	195	285	330
34	15	10	10	0	35	2.0	195	285	330
17	15	10	10	0	35	5.0	195	285	330
12	15	10	10	0	35	4.0	195	285	330
8	15	10	10	0	35	3.0	195	285	330
38	15	10	10	0	35	1.0	195	285	330
19	15	10	10	0	35	2.0	195	285	330
28	15	10	10	0	35	5.0	195	285	330
32	15	10	10	0	35	4.0	195	285	330
2	15	5	5	0	25	3.0	120	225	270
39	15	5	5	0	25	1.0	120	225	270
35	15	5	5	0	25	3.0	120	225	270
5	15	5	5	0	25	1.0	120	225	270
16	15	5	5	0	25	2.0	120	225	270
40	15	5	5	0	25	5.0	120	225	270
47	15	5	5	0	25	4.0	120	225	270
20	15	5	5	0	25	3.0	120	225	270
10	15	5	5	0	25	1.0	120	225	270
1	15	5	5	0	25	2.0	120	225	270
48	15	5	5	0	25	5.0	120	225	270
37	15	5	5	0	25	4.0	120	225	270
25	15	0	0	0	15	3.0	45	165	210
46	15	0	0	0	15	1.0	45	165	210
26	15	0	0	0	15	2.0	45	165	210
7	15	0	0	0	15	5.0	45	165	210
14	15	0	0	0	15	4.0	45	165	210
29	15	0	0	0	15	3.0	45	165	210
0	10	0	0	0	10	1.0	30	115	145
6	10	0	0	0	10	2.0	30	115	145
18	5	0	0	0	5	5.0	15	65	80
49	0	0	0	0	0	manual	0	0	0
