Climber	first	second	third	score 1	score all	1A	1B	1C	1D
1	9.5	10	11	35	335	15	10	10	0
2	6.5	7.5	9	15	150	15	0	0	0
3	11.5	12	12	60	470	15	15	15	15
4	7.5	8	10	25	210	15	5	5	0
5	10.5	11	12	50	425	15	15	15	5
6	9	9.5	11	25	305	15	5	5	0
7	8.5	9	10.5	25	270	15	5	5	0
8	7	8	9.5	15	180	15	0	0	0
9	12	12	12	60	480	15	15	15	15
10	7.5	7.5	8.5	15	135	15	0	0	0
11	9	9.5	10.5	25	300	15	5	5	0
12	12	12	12	60	480	15	15	15	15
13	9.5	10	11	35	335	15	10	10	0
14	6	6.5	7	15	90	15	0	0	0
15	7.5	8.5	9.5	15	180	15	0	0	0
16	8	8	9.5	15	195	15	0	0	0
17	7	7.5	9	15	165	15	0	0	0
18	10.5	11	12	50	425	15	15	15	5
19	11.5	11.5	12	60	460	15	15	15	15
20	7.5	8	10	25	210	15	5	5	0
21	8.5	9	10	25	255	15	5	5	0
22	8	9	10	25	255	15	5	5	0
23	9.5	10.5	11.5	40	365	15	10	10	5
24	9.5	10	10.5	35	330	15	10	10	0
25	5.5	6	7.5	10	65	10	0	0	0
26	8.5	9	10.5	25	270	15	5	5	0
27	9	9	10.5	25	300	15	5	5	0
28	7.5	8	8.5	15	150	15	0	0	0
29	11.5	12	12	60	470	15	15	15	15
30	10	10.5	11	45	380	15	15	15	0
31	10	10	11	45	365	15	15	15	0
32	10.5	10.5	12	50	420	15	15	15	5
33	8	8	9	15	195	15	0	0	0
34	6.5	7	7.5	15	105	15	0	0	0
35	9.5	10	11.5	40	350	15	10	10	5
36	8.5	9	9.5	15	225	15	0	0	0
37	9	9	10	25	285	15	5	5	0
38	6.5	6.5	8	15	105	15	0	0	0
39	10	10	11.5	50	380	15	15	15	5
40	7.5	8	10	25	210	15	5	5	0
41	10.5	10.5	12	50	420	15	15	15	5
42	8.5	9.5	11.5	30	290	15	5	5	5
43	9	9.5	10	25	285	15	5	5	0
44	11	11.5	12	55	445	15	15	15	10
45	10.5	11.5	12	55	440	15	15	15	10
46	10	10	10.5	45	360	15	15	15	0
47	8	8	9	15	195	15	0	0	0
48	8.5	9	10	25	255	15	5	5	0
49	7	8	8.5	15	150	15	0	0	0
50	9	9	11	25	305	15	5	5	0
